complejo_slug,cinema_vista_id,session_id,datetime,numero_sala,formato,idioma,experiencia,movie_id
cinepolis-la-florida-acayucan,611,49984,2026-07-31T16:45:00,5,3D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,49980,2026-07-31T17:35:00,4,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,49976,2026-07-31T18:25:00,1,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,49985,2026-07-31T19:50:00,5,3D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,49981,2026-07-31T20:45:00,4,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,49977,2026-07-31T21:45:00,1,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50030,2026-08-01T10:55:00,5,3D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50022,2026-08-01T11:50:00,1,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50026,2026-08-01T12:35:00,4,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50031,2026-08-01T14:00:00,5,3D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50023,2026-08-01T14:55:00,1,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50027,2026-08-01T15:50:00,4,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50032,2026-08-01T17:05:00,5,3D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50024,2026-08-01T18:00:00,1,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50028,2026-08-01T18:55:00,4,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50033,2026-08-01T20:10:00,5,3D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50025,2026-08-01T21:05:00,1,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50029,2026-08-01T22:00:00,4,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50042,2026-08-02T10:55:00,5,3D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50034,2026-08-02T11:50:00,1,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50038,2026-08-02T12:35:00,4,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50043,2026-08-02T14:00:00,5,3D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50035,2026-08-02T14:55:00,1,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50039,2026-08-02T15:50:00,4,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50044,2026-08-02T17:05:00,5,3D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50036,2026-08-02T18:00:00,1,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50040,2026-08-02T18:55:00,4,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50045,2026-08-02T20:10:00,5,3D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50037,2026-08-02T21:05:00,1,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
cinepolis-la-florida-acayucan,611,50041,2026-08-02T22:00:00,4,2D,ESPAÑOL,Tradicional,spider-man-un-nuevo-dia
